,Port_IDs,Total_PnL,ROI,Sharpe_Ratio,MDD,Win_Rate,Win_Positions,Total_Positions,PnL_Rank,ROI_Rank,Sharpe_Ratio_Rank,Win_Rate_Rank,MDD_Rank,Win_Positions_Rank,Total_Positions_Rank,Overall_Rank
117,4030626027667524352,3774.79887887,0.1569719390149116,0.2123244993678834,-4.12174144108427e+31,50.0,113,226,48.0,129.0,61.0,25.0,55.0,87.0,104.0,54.0
89,4013978721149559808,3778.12362398,3.1725615075747102,0.1654033082688128,0.0,20.56737588652482,58,282,47.0,9.0,77.0,131.0,128.5,112.0,99.0,55.5
102,4023697433751327232,2408.22399998,3.186034199387987,0.30005464608171417,0.0,9.523809523809524,4,42,87.0,8.0,27.0,142.0,128.5,143.5,144.5,55.5
68,3993014919980212480,3036.67211535,0.46213450839400333,0.14156650264541815,-3.819953669753845e+41,48.1981981981982,321,666,64.0,86.0,86.0,29.0,43.0,58.0,61.0,58.5
115,4030555430101054209,3298.86079001,0.6673638417000988,0.3210771777900956,0.0,26.05042016806723,31,119,58.0,67.0,21.0,119.0,128.5,127.0,118.5,58.5
53,3975304792994095360,2514.93244516,0.3846184015529939,0.25997574270764434,-inf,43.30508474576271,1022,2360,80.0,94.0,38.0,53.0,10.5,30.0,31.0,58.5
106,4028427053699127040,2633.02381341,0.8860714452211378,0.2663808442221639,-7.09955317169309e+29,30.252100840336134,36,119,73.0,48.0,36.0,108.0,60.0,124.0,118.5,58.5
34,3941019213896463617,4342.39401225,0.5045708590562187,0.09387694212424372,-1.8519270566524174e+50,46.601941747572816,48,103,43.0,80.0,110.0,37.0,39.0,117.0,122.0,61.5
6,3818233536529843712,5954.68440088,0.759373981722208,0.1483872730694516,-11754.365170187293,32.216298552932216,423,1313,28.0,58.0,84.0,100.0,88.0,48.0,43.0,61.5
72,3996598927198996481,3463.09975456,1.1177977604215517,0.11126924913058704,-7.937602653541416e+39,37.00305810397553,968,2616,55.0,35.0,102.0,80.0,46.0,31.0,29.0,63.0
121,4031181049693676544,4546.57189156,0.7729279978865697,0.21611327914571382,-36.586985001859794,24.579124579124578,73,297,41.0,56.0,59.0,123.0,95.0,102.5,98.0,64.0
146,4040843843196854529,2043.4781,0.9653001192242555,0.3618491867867204,0.0,27.083333333333332,13,48,102.0,45.0,16.0,117.0,128.5,137.0,142.0,65.5
140,4037717032428033792,1858.31772538,2.721035289708067,0.22020001583592771,0.0,32.362459546925564,100,309,108.0,18.0,55.0,99.0,128.5,93.0,95.0,65.5
74,3998659472131949824,1411.30152237,0.3042907241225334,0.3890118681932201,0.0,44.85294117647059,61,136,120.0,103.0,14.0,44.0,128.5,109.0,114.0,67.0
136,4037121179310444801,7046.47500385,0.12940298344336842,0.11312130615223351,-inf,48.92857142857142,685,1400,21.0,132.0,101.0,28.0,10.5,37.0,40.0,68.0
